x,y1,y2,y3,y4,y5
0,0,0.009,0.081,0.029,0.032
0.1,0.066651034,0.080651034,0.127651034,0.080651034,0.134651034
0.2,0.133005651,0.168005651,0.193005651,0.222005651,0.223005651
0.3,0.198768751,0.268768751,0.289768751,0.206768751,0.210768751
0.4,0.263647865,0.357647865,0.347647865,0.339647865,0.297647865
0.5,0.327354457,0.415354457,0.328354457,0.332354457,0.419354457
0.6,0.389605204,0.410605204,0.456605204,0.440605204,0.472605204
0.7,0.450123258,0.538123258,0.450123258,0.529123258,0.480123258
0.8,0.508639477,0.558639477,0.553639477,0.531639477,0.510639477
0.9,0.564893621,0.609893621,0.653893621,0.609893621,0.594893621
1,0.61863551,0.71063551,0.70063551,0.65563551,0.65463551
1.1,0.669626139,0.675626139,0.698626139,0.697626139,0.682626139
1.2,0.717638736,0.805638736,0.784638736,0.763638736,0.737638736
1.3,0.762459774,0.827459774,0.852459774,0.766459774,0.816459774
1.4,0.803889922,0.894889922,0.878889922,0.810889922,0.881889922
1.5,0.841744926,0.874744926,0.929744926,0.930744926,0.882744926
1.6,0.875856433,0.875856433,0.935856433,0.925856433,0.922856433
1.7,0.90607274,0.97807274,0.91007274,0.99507274,0.91707274
1.8,0.932259465,0.955259465,0.943259465,0.932259465,1.020259465
1.9,0.954300148,1.022300148,0.995300148,1.032300148,1.038300148
2,0.972096767,0.984096767,1.026096767,1.026096767,1.038096767
2.1,0.985570175,1.017570175,1.015570175,1.011570175,1.046570175
2.2,0.994660452,1.002660452,1.045660452,1.061660452,1.030660452
2.3,0.999327171,1.064327171,1.092327171,1.093327171,1.039327171
2.4,0.999549577,1.013549577,1.075549577,1.036549577,1.038549577
2.5,0.995326681,1.051326681,1.033326681,1.043326681,1.034326681
2.6,0.986677264,1.069677264,0.998677264,1.003677264,0.996677264
2.7,0.973639793,1.050639793,0.985639793,1.008639793,1.057639793
2.8,0.956272248,0.988272248,0.964272248,1.019272248,1.051272248
2.9,0.934651869,0.996651869,1.003651869,0.955651869,0.967651869
3,0.908874808,0.964874808,0.945874808,0.977874808,1.003874808
3.1,0.879055703,0.892055703,0.936055703,0.917055703,0.973055703
3.2,0.84532717,0.86232717,0.94532717,0.93532717,0.91732717
3.3,0.807839209,0.819839209,0.810839209,0.845839209,0.818839209
3.4,0.76675854,0.83375854,0.77275854,0.82175854,0.76975854
3.5,0.722267863,0.760267863,0.789267863,0.782267863,0.820267863
3.6,0.67456504,0.75656504,0.77256504,0.74156504,0.69556504
3.7,0.623862221,0.701862221,0.638862221,0.652862221,0.633862221
3.8,0.570384896,0.653384896,0.653384896,0.659384896,0.655384896
3.9,0.514370895,0.524370895,0.570370895,0.612370895,0.534370895
4,0.45606933,0.55506933,0.54006933,0.46806933,0.53506933
4.1,0.395739486,0.416739486,0.407739486,0.413739486,0.428739486
4.2,0.333649668,0.407649668,0.378649668,0.378649668,0.410649668
4.3,0.270076008,0.328076008,0.326076008,0.314076008,0.368076008
4.4,0.205301237,0.303301237,0.291301237,0.279301237,0.232301237
4.5,0.13961343,0.17161343,0.15661343,0.15461343,0.22561343
4.6,0.073304718,0.121304718,0.091304718,0.119304718,0.147304718
4.7,0.006669999,0.063669999,0.105669999,0.068669999,0.048669999
4.8,-0.059994385,0.001005615,-0.010994385,0.010005615,-0.010994385
4.9,-0.126391954,-0.116391954,-0.031391954,-0.048391954,-0.083391954
5,-0.192227421,-0.118227421,-0.095227421,-0.121227421,-0.146227421
5.1,-0.257207993,-0.182207993,-0.165207993,-0.190207993,-0.251207993
5.2,-0.321044683,-0.321044683,-0.302044683,-0.268044683,-0.301044683
5.3,-0.383453589,-0.373453589,-0.284453589,-0.307453589,-0.340453589
5.4,-0.444157161,-0.434157161,-0.389157161,-0.423157161,-0.350157161
5.5,-0.50288543,-0.49388543,-0.44088543,-0.49288543,-0.44188543
5.6,-0.559377214,-0.495377214,-0.464377214,-0.482377214,-0.526377214
5.7,-0.613381277,-0.542381277,-0.579381277,-0.524381277,-0.605381277
